model_type,model_name,model_score_type,smape,mape,mase,wape,rmsse,mae,rmse
dl,lstm,backtest,11.189599990844727,11.09689998626709,0.8259999752044678,11.0563,0.8082000017166138,361.2296142578125,455.2095947265625
dl,gru,backtest,11.490500450134277,10.773300170898438,0.8482999801635742,11.0557,0.8129000067710876,356.3304138183594,439.2872009277344
dl,nbeats,backtest,10.280099868774414,9.713299751281738,0.6887999773025513,9.8701,0.6758000254631042,294.5788879394531,372.3057861328125
dl,tcn,backtest,67.94239807128906,47.758201599121094,3.08240008354187,48.1838,2.528599977493286,1859.1722412109375,1904.8060302734375
dl,tide,backtest,9.281499862670898,9.548700332641602,0.6200000047683716,9.2472,0.6190000176429749,307.5911865234375,381.8507995605469
dl,tft,backtest,11.745400428771973,11.121100425720215,0.858299970626831,11.3097,0.8246999979019165,361.9396057128906,445.1225891113281
ml,lightgbm,backtest,8.3541,8.4154,0.5511,8.2591,0.5575,267.233,337.7293
ml,xgboost,backtest,8.37909984588623,8.519399642944336,0.5486999750137329,8.2817,0.5523999929428101,267.052490234375,338.7524108886719
ml,catboost,backtest,9.9056,9.7869,0.6477,9.7206,0.6422,283.2417,353.9277
